mpg,cyl,wt,qsec,am,gear,rec
21,6,2.62,16.46,1,4,NA
21,6,2.875,17.02,1,4,NA
22.8,4,2.32,18.61,1,4,NA
21.4,6,3.215,19.44,0,3,NA
18.7,8,3.44,17.02,0,3,NA
18.1,6,3.46,20.22,0,3,NA
14.3,8,3.57,15.84,0,3,NA
24.4,4,3.19,20,0,4,NA
22.8,4,3.15,22.9,0,4,NA
19.2,6,3.44,18.3,0,4,NA
17.8,6,3.44,18.9,0,4,NA
16.4,8,4.07,17.4,0,3,NA
17.3,8,3.73,17.6,0,3,NA
15.2,8,3.78,18,0,3,TRUE
10.4,8,5.25,17.98,0,3,NA
10.4,8,5.424,17.82,0,3,NA
14.7,8,5.345,17.42,0,3,NA
32.4,4,2.2,19.47,1,4,NA
30.4,4,1.615,18.52,1,4,NA
33.9,4,1.835,19.9,1,4,NA
21.5,4,2.465,20.01,0,3,NA
15.5,8,3.52,16.87,0,3,NA
15.2,8,3.435,17.3,0,3,NA
13.3,8,3.84,15.41,0,3,NA
19.2,8,3.845,17.05,0,3,NA
27.3,4,1.935,18.9,1,4,NA
26,4,2.14,16.7,1,5,NA
30.4,4,1.513,16.9,1,5,TRUE
15.8,8,3.17,14.5,1,5,NA
19.7,6,2.77,15.5,1,5,NA
15,8,3.57,14.6,1,5,NA
21.4,4,2.78,18.6,1,4,NA
